area,year,children_under_5_years_overweight
tanzania,2014,3.5
mainland,2014,3.6
dodoma,2014,1.5
arusha,2014,2.1
kilimanjaro,2014,3.7
tanga,2014,3.2
morogoro,2014,2.8
pwani,2014,6
dar_es_salaam,2014,5
lindi,2014,3.4
mtwara,2014,3.3
ruvuma,2014,4.7
iringa,2014,4.1
mbeya,2014,4.9
singida,2014,3.4
tabora,2014,3.8
rukwa,2014,5
kigoma,2014,3.3
shinyanga,2014,3.2
kagera,2014,2
mwanza,2014,4.5
mara,2014,2.6
manyara,2014,2.9
njombe,2014,3.6
katavi,2014,9.2
simiyu,2014,1
geita,2014,3.5
zanzibar,2014,1.8
kaskazini_unguja,2014,1.6
kusini_unguja,2014,1.3
mjini_magharibi,2014,2.8
kaskazini_pemba,2014,1.1
kusini_pemba,2014,0.3